"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Armenia","ARM","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6129.98829457637","5321.37255147331","3134.36025821136","2955.4425290313","3192.25979061776","3464.83224035992","3694.61525642914","3849.38193487809","4169.73099494953","4353.7100695751","4665.15612333024","5170.76463236335","5906.26933617911","6778.85189789381","7535.48358354372","8635.02034431875","9841.8929818114","11272.520424144","12135.0322583276","10491.2460679768","10787.5694124723","11361.362209239","12240.2057079733","12700.9429200555","13210.3327707559","13686.7461269439","13775.1811130634","14880.5563397717","15739.1469036968","17031.1183072476","15889.3437365965","16899.0709181676","19100.2456307942","20780.6440042171",
"American Samoa","ASM","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20991.578596164","21345.3895859699","21250.3888680594","21973.1643315122","23007.4237002659","21577.8546026361","22541.6507388614","23300.9048951623","23948.0231287329","24415.7390715317","25504.039074952","23973.5783929234","23912.3671263473","25079.5968751067","26234.8762812089","27608.7427000392","30722.6015554287","33125.4781267446","32629.5021584401","28290.0613472518","25718.7741721695","24914.3966226871","25477.1192437001","25088.5666700905","25431.0249671081","25596.3216196952","26462.4119341251","26949.1180766044","28663.4525889592","29394.6290117812","23704.048687826","25493.1295548691","27757.17352739","28665.5966277555",
"Australia","AUS","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35754.1141170955","35166.4698345273","34923.6676324886","36014.5915826843","37088.9400872028","38102.4330016468","39097.2104894606","40189.9261064134","41646.8987332921","43264.8525665447","44449.852777819","44771.4613117813","46026.6413897605","46906.5504946725","48368.1086259664","49290.0363305889","49969.2431898083","50917.0140186351","51696.610463009","51600.5720398176","51935.2017847145","52452.3787571427","53564.3304077806","54022.4668771925","54610.3938064056","55015.2964787314","55667.9241534879","56028.3713006226","56800.6357529854","57188.2949487875","56298.1955662662","57406.1787604549","59099.8479392399","59456.3884188866",
"Austria","AUT","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44185.6033812944","45252.2378614827","45693.9414436961","45557.4288009203","46472.5690932382","47639.454729688","48692.970273325","49656.1054942487","51378.0947882366","53101.8528145705","54762.5796214008","55244.6322107553","55881.4240105944","56133.4193515393","57312.0590271475","58200.3256298781","59913.4044082921","61945.5058150023","62653.7331928151","60137.3462187105","61095.0798402765","62669.162997272","62808.5709119248","62455.3989818704","62378.971893348","62309.3942698872","62865.4863848378","63840.3566241592","65071.0155162726","65721.9904800008","61108.4211360952","63421.2035870778","65836.8893659608","64643.9721835092",
"Azerbaijan","AZE","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10612.9666645849","10399.3931166437","7928.37229522939","6005.19779709532","4757.5844127957","4147.97469107883","4159.5978922991","4358.60480019062","4749.17444077969","5056.04634019211","5571.30950249852","6075.61452386132","6599.65760594523","7218.4718855466","7817.71610674925","9901.92662966046","13172.5812939603","16280.083507883","17656.9634509611","18901.8857609001","19621.3843451177","19386.7434013253","19545.0718576668","20414.8314836618","20716.1415229269","20694.7787550356","19830.3223176308","19675.9598908264","19798.8335387146","20122.7128524509","19126.094903135","20111.3756952109","21051.2687619289","21349.3504704388",
"Burundi","BDI","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1422.36555928831","1463.80004114456","1440.41493181761","1396.20501876217","1335.23412309396","1157.70236496855","1065.49493277573","1049.72976201819","1079.28150260621","1043.34196299229","1013.49647878966","1009.04532512418","1024.87255049194","981.063469409197","990.98086387937","963.581427276904","980.027004845494","977.305464784595","983.532411954684","970.474105163458","973.562365502537","977.568691072031","985.624648584412","998.078995083245","1006.1694513767","945.995531486505","925.125604037851","908.726397522953","896.211966248355","883.152427916289","860.998892203647","864.280732749477","857.153625847217","857.091185959625",
"Belgium","BEL","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42266.1303465547","42881.2596572635","43361.3436007909","42776.8328149211","44021.3472408234","44976.8527139074","45482.2436732757","47093.5836282491","47915.048260711","49498.9791321662","51214.3427772711","51599.7219539308","52245.7425297135","52567.513494045","54209.685249767","55164.0226862774","56200.1040928004","57840.2132826138","57641.5594979425","56024.1830249853","57104.7574081063","57321.7752272553","57388.4992516484","57380.9535901919","58028.5525792096","58871.0652854142","59315.7001438597","60044.6107556749","60843.595706036","61871.7026087319","58337.7581284065","62123.1613172906","63450.4500400983","63572.4919333446",
"Benin","BEN","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2270.72504795272","2295.30726282374","2291.86752408274","2320.03190565047","2280.11054755879","2368.71432989608","2408.46843471588","2473.55603491183","2494.5317913269","2548.65299674092","2617.20277526761","2674.97399131568","2716.40824832532","2726.5139607425","2762.408845242","2721.86182641779","2743.94728973136","2825.77326094376","2878.03947158524","2859.37720191364","2835.37685284196","2835.16623561424","2886.20105632577","3005.33207106869","3104.22267310797","3067.54054450397","3077.84294838277","3157.97632935376","3272.42968263968","3397.58398092032","3429.92686919007","3575.31148668734","3697.61143218213","3829.28494585008",
"Burkina Faso","BFA","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1108.22112728143","1178.57286951255","1152.57927816906","1163.20575992283","1149.16795988156","1184.11462289911","1281.37915951061","1327.80002043085","1386.19847358973","1445.79436204571","1429.79157517696","1478.69577752004","1496.33893903491","1563.78137869999","1583.34121442236","1667.15432034947","1716.94708729138","1734.13892358862","1781.49974260306","1781.27751349705","1875.7768605181","1941.47982030247","2005.03593859041","2058.31566496266","2084.33270056742","2102.6286729697","2163.46819844314","2232.76964140723","2315.23728568714","2386.18665814007","2369.589918944","2467.74060013055","2448.13391064405","2457.97437726277",
